Unnamed: 0,Game,ReleaseDate,Genre,TotalEarnings,OfflineEarnings,PercentOffline,TotalPlayers,TotalTournaments,Country,Date,Earnings,Players,Tournaments
1987,Call of Duty,2003-01-01,First-Person Shooter,54799.77,54799.77,1.0,66,4,United States of America,2004-08-01,50000.0,51.0,1.0
1988,Call of Duty,2003-01-01,First-Person Shooter,54799.77,54799.77,1.0,66,4,United States of America,2005-08-01,629.77,0.0,1.0
1989,Call of Duty,2003-01-01,First-Person Shooter,54799.77,54799.77,1.0,66,4,United States of America,2006-03-01,4170.0,15.0,1.0
3044,Overwatch,2016-01-01,First-Person Shooter,34616725.38,18840032.08,0.544246513013184,4047,835,United States of America,2015-11-01,760.0,37.0,5.0
3045,Overwatch,2016-01-01,First-Person Shooter,34616725.38,18840032.08,0.544246513013184,4047,835,United States of America,2015-12-01,2560.0,24.0,5.0
3046,Overwatch,2016-01-01,First-Person Shooter,34616725.38,18840032.08,0.544246513013184,4047,835,United States of America,2016-02-01,3247.45,61.0,11.0
3047,Overwatch,2016-01-01,First-Person Shooter,34616725.38,18840032.08,0.544246513013184,4047,835,United States of America,2016-03-01,9140.12,62.0,13.0
3048,Overwatch,2016-01-01,First-Person Shooter,34616725.38,18840032.08,0.544246513013184,4047,835,United States of America,2016-04-01,9705.99,53.0,12.0
3049,Overwatch,2016-01-01,First-Person Shooter,34616725.38,18840032.08,0.544246513013184,4047,835,United States of America,2016-05-01,26397.62,96.0,11.0
3050,Overwatch,2016-01-01,First-Person Shooter,34616725.38,18840032.08,0.544246513013184,4047,835,United States of America,2016-06-01,60633.61,98.0,26.0
3051,Overwatch,2016-01-01,First-Person Shooter,34616725.38,18840032.08,0.544246513013184,4047,835,United States of America,2016-07-01,156328.29,326.0,41.0
3052,Overwatch,2016-01-01,First-Person Shooter,34616725.38,18840032.08,0.544246513013184,4047,835,United States of America,2016-08-01,163282.62,221.0,30.0
3053,Overwatch,2016-01-01,First-Person Shooter,34616725.38,18840032.08,0.544246513013184,4047,835,United States of America,2016-09-01,379570.85,271.0,28.0
3054,Overwatch,2016-01-01,First-Person Shooter,34616725.38,18840032.08,0.544246513013184,4047,835,United States of America,2016-10-01,371307.85,363.0,29.0
3055,Overwatch,2016-01-01,First-Person Shooter,34616725.38,18840032.08,0.544246513013184,4047,835,United States of America,2016-11-01,377891.9,429.0,29.0
3056,Overwatch,2016-01-01,First-Person Shooter,34616725.38,18840032.08,0.544246513013184,4047,835,United States of America,2016-12-01,461236.07,447.0,38.0
3057,Overwatch,2016-01-01,First-Person Shooter,34616725.38,18840032.08,0.544246513013184,4047,835,United States of America,2017-01-01,231537.0,327.0,29.0
3058,Overwatch,2016-01-01,First-Person Shooter,34616725.38,18840032.08,0.544246513013184,4047,835,United States of America,2017-02-01,70594.81,303.0,33.0
3059,Overwatch,2016-01-01,First-Person Shooter,34616725.38,18840032.08,0.544246513013184,4047,835,United States of America,2017-03-01,108385.88,471.0,32.0
3060,Overwatch,2016-01-01,First-Person Shooter,34616725.38,18840032.08,0.544246513013184,4047,835,United States of America,2017-04-01,317627.56,427.0,38.0
3061,Overwatch,2016-01-01,First-Person Shooter,34616725.38,18840032.08,0.544246513013184,4047,835,United States of America,2017-05-01,68135.63,255.0,24.0
3062,Overwatch,2016-01-01,First-Person Shooter,34616725.38,18840032.08,0.544246513013184,4047,835,United States of America,2017-06-01,199238.06,260.0,27.0
3063,Overwatch,2016-01-01,First-Person Shooter,34616725.38,18840032.08,0.544246513013184,4047,835,United States of America,2017-07-01,822189.13,497.0,25.0
3064,Overwatch,2016-01-01,First-Person Shooter,34616725.38,18840032.08,0.544246513013184,4047,835,United States of America,2017-08-01,177033.63,220.0,22.0
3065,Overwatch,2016-01-01,First-Person Shooter,34616725.38,18840032.08,0.544246513013184,4047,835,United States of America,2017-09-01,182938.46,154.0,13.0
