,Game,ReleaseDate,Genre,TotalEarnings,OfflineEarnings,PercentOffline,TotalPlayers,TotalTournaments,Country,Date,Earnings,Players,Tournaments
0,Age of Empires,1997-01-01,Strategy,510716.46,375857.63,0.735941876633465,473,265,,1998-12-01,2000.0,1.0,1.0
1,Age of Empires,1997-01-01,Strategy,510716.46,375857.63,0.735941876633465,473,265,,2000-04-01,9500.0,4.0,1.0
2,Age of Empires,1997-01-01,Strategy,510716.46,375857.63,0.735941876633465,473,265,,2002-09-01,100.0,3.0,1.0
3,Age of Empires,1997-01-01,Strategy,510716.46,375857.63,0.735941876633465,473,265,,2003-05-01,625.0,4.0,1.0
4,Age of Empires,1997-01-01,Strategy,510716.46,375857.63,0.735941876633465,473,265,,2006-08-01,42.25,10.0,1.0
5,Age of Empires,1997-01-01,Strategy,510716.46,375857.63,0.735941876633465,473,265,,2006-09-01,247.0,15.0,1.0
6,Age of Empires,1997-01-01,Strategy,510716.46,375857.63,0.735941876633465,473,265,,2009-07-01,880.0,16.0,1.0
7,Age of Empires,1997-01-01,Strategy,510716.46,375857.63,0.735941876633465,473,265,,2010-01-01,308.0,18.0,1.0
8,Age of Empires,1997-01-01,Strategy,510716.46,375857.63,0.735941876633465,473,265,,2010-07-01,2358.0,15.0,1.0
9,Age of Empires,1997-01-01,Strategy,510716.46,375857.63,0.735941876633465,473,265,,2011-01-01,352.0,14.0,1.0
10,Age of Empires,1997-01-01,Strategy,510716.46,375857.63,0.735941876633465,473,265,,2011-03-01,341.0,12.0,1.0
11,Age of Empires,1997-01-01,Strategy,510716.46,375857.63,0.735941876633465,473,265,,2011-08-01,944.0,18.0,1.0
12,Age of Empires,1997-01-01,Strategy,510716.46,375857.63,0.735941876633465,473,265,,2011-12-01,3375.63,21.0,4.0
13,Age of Empires,1997-01-01,Strategy,510716.46,375857.63,0.735941876633465,473,265,,2012-04-01,1015.0,19.0,1.0
14,Age of Empires,1997-01-01,Strategy,510716.46,375857.63,0.735941876633465,473,265,,2012-06-01,994.74,15.0,1.0
15,Age of Empires,1997-01-01,Strategy,510716.46,375857.63,0.735941876633465,473,265,,2012-12-01,1782.76,21.0,3.0
16,Age of Empires,1997-01-01,Strategy,510716.46,375857.63,0.735941876633465,473,265,,2013-01-01,881.0,12.0,1.0
17,Age of Empires,1997-01-01,Strategy,510716.46,375857.63,0.735941876633465,473,265,,2013-03-01,924.0,17.0,1.0
18,Age of Empires,1997-01-01,Strategy,510716.46,375857.63,0.735941876633465,473,265,,2013-06-01,1462.82,21.0,2.0
19,Age of Empires,1997-01-01,Strategy,510716.46,375857.63,0.735941876633465,473,265,,2013-08-01,1007.03,18.0,1.0
20,Age of Empires,1997-01-01,Strategy,510716.46,375857.63,0.735941876633465,473,265,,2013-09-01,1921.78,17.0,2.0
21,Age of Empires,1997-01-01,Strategy,510716.46,375857.63,0.735941876633465,473,265,,2013-10-01,1490.46,17.0,1.0
22,Age of Empires,1997-01-01,Strategy,510716.46,375857.63,0.735941876633465,473,265,,2013-12-01,352.0,8.0,1.0
23,Age of Empires,1997-01-01,Strategy,510716.46,375857.63,0.735941876633465,473,265,,2014-01-01,1387.47,8.0,1.0
24,Age of Empires,1997-01-01,Strategy,510716.46,375857.63,0.735941876633465,473,265,,2014-03-01,1733.23,3.0,1.0
25,Age of Empires,1997-01-01,Strategy,510716.46,375857.63,0.735941876633465,473,265,,2014-04-01,2303.42,25.0,2.0
26,Age of Empires,1997-01-01,Strategy,510716.46,375857.63,0.735941876633465,473,265,,2014-05-01,910.29,17.0,1.0
27,Age of Empires,1997-01-01,Strategy,510716.46,375857.63,0.735941876633465,473,265,,2014-06-01,880.0,17.0,1.0
28,Age of Empires,1997-01-01,Strategy,510716.46,375857.63,0.735941876633465,473,265,,2014-09-01,904.04,8.0,2.0
29,Age of Empires,1997-01-01,Strategy,510716.46,375857.63,0.735941876633465,473,265,,2014-11-01,1320.0,6.0,1.0
30,Age of Empires,1997-01-01,Strategy,510716.46,375857.63,0.735941876633465,473,265,,2014-12-01,1540.0,12.0,1.0
31,Age of Empires,1997-01-01,Strategy,510716.46,375857.63,0.735941876633465,473,265,,2015-02-01,3015.0,12.0,3.0
32,Age of Empires,1997-01-01,Strategy,510716.46,375857.63,0.735941876633465,473,265,,2015-04-01,1230.0,16.0,1.0
33,Age of Empires,1997-01-01,Strategy,510716.46,375857.63,0.735941876633465,473,265,,2015-05-01,924.0,16.0,1.0
34,Age of Empires,1997-01-01,Strategy,510716.46,375857.63,0.735941876633465,473,265,,2015-06-01,1852.87,22.0,2.0
35,Age of Empires,1997-01-01,Strategy,510716.46,375857.63,0.735941876633465,473,265,,2015-08-01,1141.41,16.0,2.0
36,Age of Empires,1997-01-01,Strategy,510716.46,375857.63,0.735941876633465,473,265,,2015-09-01,1083.48,5.0,2.0
